0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51 52 53 54 55 56 57 58 59
38 53 47 35 29 42 20 23 28 48 44 56 16 34 58 39 51 32 14 11 57 27 10 54 21 1 9 41 45 55 15 13 36 5 52 59 30 2 50 24 3 17 49 7 46 26 0 43 31 4 18 37 8 40 12 19 33 25 22 6
48 41 39 54 58 52 56 59 47 32 46 30 53 49 21 28 37 38 55 57 26 40 42 13 29 51 50 16 25 18 43 35 33 44 10 7 20 45 19 22 34 31 3 23 5 11 36 6 12 27 14 1 24 4 17 9 0 2 8 15
52 39 41 58 54 48 59 56 46 30 47 32 49 53 21 26 38 37 57 55 28 42 40 13 25 50 51 18 29 16 44 33 35 43 7 10 19 45 20 23 31 34 5 22 3 6 36 11 14 24 12 4 27 1 15 8 2 0 9 17
39 47 48 28 32 38 21 16 41 58 29 53 30 20 56 54 35 52 10 13 42 11 26 57 46 7 5 59 23 44 1 37 14 18 55 51 49 3 34 9 19 2 45 25 50 40 4 27 15 6 33 43 0 36 8 22 24 31 17 12
39 58 48 52 41 54 30 46 32 47 59 56 21 49 53 38 55 28 37 26 57 40 13 42 16 18 25 29 50 51 33 10 43 7 35 44 20 19 45 31 3 22 34 5 23 11 6 36 24 4 1 14 12 27 8 2 15 9 17 0
49 43 40 55 59 50 54 57 46 33 45 31 52 51 22 25 36 37 56 58 24 44 41 12 26 48 53 19 27 17 42 30 34 39 6 8 18 47 15 23 32 35 0 21 4 7 38 9 14 28 13 3 29 2 20 10 1 5 11 16
50 40 43 59 55 49 57 54 45 31 46 33 51 52 22 24 37 36 58 56 25 41 44 12 27 53 48 17 26 19 39 34 30 42 8 6 15 47 18 21 35 32 4 23 0 9 38 7 13 29 14 2 28 3 16 11 5 1 10 20
40 46 49 25 33 37 22 19 43 59 26 52 31 18 54 55 30 50 6 12 41 7 24 58 45 8 4 57 21 39 3 36 13 17 56 48 51 0 32 10 15 5 47 27 53 44 2 28 16 9 34 42 1 38 11 23 29 35 20 14
40 59 49 50 43 55 31 45 33 46 57 54 22 51 52 37 56 25 36 24 58 44 12 41 19 17 27 26 53 48 34 6 42 8 30 39 18 15 47 35 0 23 32 4 21 7 9 38 29 2 3 13 14 28 11 5 16 10 20 1
41 46 52 26 30 37 21 18 39 54 25 49 32 19 59 58 33 48 7 13 40 6 28 55 47 10 3 56 22 43 4 38 12 16 57 50 53 5 31 8 20 0 45 29 51 42 1 24 17 11 35 44 2 36 9 23 27 34 15 14
41 54 52 48 39 58 32 47 30 46 56 59 21 53 49 37 57 26 38 28 55 42 13 40 18 16 29 25 51 50 35 7 44 10 33 43 19 20 45 34 5 23 31 3 22 6 11 36 27 1 4 12 14 24 9 0 17 8 15 2
51 42 44 56 57 53 55 58 45 34 47 35 50 48 23 27 38 36 54 59 29 39 43 14 24 49 52 15 28 20 41 31 32 40 9 11 17 46 16 21 33 30 1 22 2 8 37 10 13 25 12 0 26 5 18 6 3 4 7 19
53 44 42 57 56 51 58 55 47 35 45 34 48 50 23 29 36 38 59 54 27 43 39 14 28 52 49 20 24 15 40 32 31 41 11 9 16 46 17 22 30 33 2 21 1 10 37 8 12 26 13 5 25 0 19 7 4 3 6 18
42 47 53 29 35 38 23 20 44 56 28 48 34 16 58 57 32 51 11 14 39 10 27 54 45 9 1 55 21 41 5 36 13 15 59 52 50 2 30 7 17 3 46 24 49 43 0 26 18 8 31 40 4 37 6 22 25 33 19 12
42 56 53 51 44 57 34 45 35 47 55 58 23 50 48 38 59 29 36 27 54 43 14 39 20 15 24 28 49 52 31 11 40 9 32 41 16 17 46 33 2 22 30 1 21 10 8 37 25 0 5 13 12 26 6 3 18 7 19 4
43 45 50 24 31 36 22 17 40 55 27 51 33 15 57 59 34 49 8 12 44 9 25 56 46 6 0 54 23 42 2 37 14 19 58 53 52 4 35 11 18 1 47 26 48 41 3 29 20 7 30 39 5 38 10 21 28 32 16 13
43 55 50 49 40 59 33 46 31 45 54 57 22 52 51 36 58 24 37 25 56 41 12 44 17 19 26 27 48 53 30 8 39 6 34 42 15 18 47 32 4 21 35 0 23 9 7 38 28 3 2 14 13 29 10 1 20 11 16 5
44 45 51 27 34 36 23 15 42 57 24 50 35 17 55 56 31 53 9 14 43 8 29 59 47 11 2 58 22 40 0 38 12 20 54 49 48 1 33 6 16 4 46 28 52 39 5 25 19 10 32 41 3 37 7 21 26 30 18 13
44 57 51 53 42 56 35 47 34 45 58 55 23 48 50 36 54 27 38 29 59 39 14 43 15 20 28 24 52 49 32 9 41 11 31 40 17 16 46 30 1 21 33 2 22 8 10 37 26 5 0 12 13 25 7 4 19 6 18 3
54 48 58 41 52 39 46 30 59 56 32 47 49 21 53 57 28 55 26 37 38 13 40 42 50 25 18 51 16 29 7 43 10 33 44 35 45 19 20 5 22 3 23 31 34 36 6 11 1 12 24 27 4 14 0 17 9 15 2 8
55 49 59 43 50 40 45 31 57 54 33 46 51 22 52 58 25 56 24 36 37 12 44 41 53 27 17 48 19 26 8 42 6 34 39 30 47 15 18 4 23 0 21 35 32 38 9 7 3 14 29 28 2 13 1 20 10 16 5 11
59 50 55 40 49 43 46 33 54 57 31 45 52 22 51 56 24 58 25 37 36 12 41 44 48 26 19 53 17 27 6 39 8 30 42 34 47 18 15 0 21 4 23 32 35 38 7 9 2 13 28 29 3 14 5 16 11 20 1 10
56 51 57 42 53 44 47 35 58 55 34 45 48 23 50 59 27 54 29 38 36 14 39 43 52 28 20 49 15 24 11 41 9 32 40 31 46 16 17 2 21 1 22 30 33 37 10 8 0 13 26 25 5 12 3 18 6 19 4 7
